NaN,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550
NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,3,6,6,2,3,3,3,5,4,1,2,2,3,4,0,1,1,2,2,1,1,0,2,1,0,1
0.003052,0,0,0,0,2,3,1,3,1,7,5,3,4,2,3,2,3,2,1,0,2,0,1,3,0,0,0,1,0,1,0
0.006104,0,0,0,0,1,1,2,6,5,3,3,3,3,5,4,2,2,3,1,1,0,0,2,0,0,1,2,1,1,1,0
0.009155,0,0,0,0,1,2,0,7,2,5,3,7,4,0,0,1,1,2,1,1,0,0,1,0,0,1,0,0,1,0,0
0.012207,0,0,0,0,1,1,3,1,5,0,4,3,6,4,3,4,1,1,2,4,0,1,1,0,1,0,0,1,1,1,0
0.015259,0,0,0,0,1,3,2,7,6,4,3,0,3,2,1,2,0,2,1,4,3,0,1,1,1,0,0,1,0,0,0
0.018311,0,0,0,0,0,5,0,3,5,6,3,4,3,2,5,0,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0
0.021362,0,0,0,0,0,3,2,3,4,4,2,5,4,3,3,4,2,2,2,2,2,1,2,0,1,1,1,1,1,0,0
0.024414,0,0,0,0,0,2,2,3,3,3,3,7,2,7,4,3,4,2,4,0,2,0,0,1,0,0,0,3,1,0,1
0.027466,0,0,0,0,0,0,3,3,4,5,6,9,4,1,2,1,2,3,1,2,2,0,1,0,0,1,1,1,1,0,2
0.030518,0,0,0,0,1,3,2,4,3,8,3,1,4,2,4,1,1,1,2,2,2,2,2,0,1,0,1,0,0,1,0
0.033569,0,0,0,0,1,2,4,1,5,2,5,3,1,5,4,0,2,0,2,3,1,1,3,2,1,0,1,0,0,0,1
0.036621,0,0,0,0,0,8,1,3,1,3,6,4,4,4,0,3,1,2,2,2,1,0,0,1,1,0,0,0,2,0,0
0.039673,0,0,0,0,0,2,3,3,3,4,8,2,4,1,3,1,3,3,0,4,0,3,1,1,1,1,0,0,1,1,0
0.042725,0,0,0,0,2,1,5,2,5,8,4,3,4,2,2,2,5,2,1,1,2,0,0,3,0,0,0,0,0,0,2
0.045776,0,0,0,0,2,1,6,5,3,5,4,3,2,4,2,2,5,1,3,4,1,2,1,1,0,0,1,1,0,0,0
0.048828,0,0,0,0,0,4,2,4,6,3,5,0,4,8,1,1,0,4,2,4,2,1,0,0,0,1,0,0,0,1,0
0.05188,0,0,0,0,0,1,3,0,7,4,2,4,1,2,2,1,1,1,2,0,1,2,1,1,2,1,1,1,0,0,0
0.054932,0,0,0,0,2,1,5,3,4,3,1,4,4,1,2,2,2,4,1,1,2,2,1,1,0,0,0,1,0,1,1
0.057983,0,0,0,0,1,2,3,5,4,3,4,4,1,6,1,3,0,1,4,5,1,2,3,2,2,1,0,0,0,0,0
0.061035,0,0,0,0,1,4,2,4,5,5,4,3,3,2,0,6,3,4,3,0,1,4,2,3,0,1,0,2,3,1,2
0.064087,0,0,1,0,1,6,3,4,5,8,4,1,4,4,2,1,1,3,3,1,2,5,3,0,1,0,0,3,0,0,0
0.067139,0,0,0,0,1,5,4,7,8,7,1,5,6,3,6,1,2,3,2,1,4,1,0,0,2,3,1,3,1,2,0
0.07019,0,1,0,0,0,1,2,3,7,5,6,4,6,1,1,0,1,4,2,1,0,4,0,1,0,0,2,1,0,2,1
0.073242,0,0,0,0,0,2,3,0,4,3,5,3,2,1,4,1,2,0,1,0,1,1,4,1,1,1,0,0,1,0,1
0.076294,0,0,0,0,0,3,6,2,6,6,7,2,2,3,1,3,2,1,1,1,0,2,0,0,1,0,0,0,0,1,1
0.079346,0,0,0,0,0,4,5,3,5,7,4,8,4,4,1,3,4,1,2,2,1,1,2,1,2,0,0,1,0,1,0
0.082397,0,0,0,0,1,3,1,2,7,7,9,6,3,3,6,4,5,2,1,3,2,1,0,1,0,1,0,2,1,1,0
0.085449,0,0,0,0,0,0,5,1,5,3,5,6,4,1,4,4,2,1,3,0,0,0,1,0,2,2,0,1,1,1,0
0.088501,0,0,0,1,0,2,0,5,8,4,5,6,3,4,2,5,3,2,1,0,0,0,3,0,1,1,0,0,2,0,0
0.091553,0,0,0,0,1,4,6,3,3,3,3,4,6,3,3,1,2,0,3,6,0,1,1,0,1,1,1,0,2,1,1
0.094604,0,0,0,0,0,5,1,3,3,4,7,3,2,4,1,4,2,2,3,0,1,1,2,1,0,1,1,0,0,0,0
0.097656,0,0,0,0,1,7,11,3,2,5,2,3,2,3,2,6,3,1,6,0,1,1,0,2,0,0,0,1,0,0,0
0.100708,0,0,0,0,0,2,5,2,6,1,8,4,6,3,3,3,3,3,3,2,1,0,1,2,1,2,1,1,1,0,0
0.10376,0,0,0,0,0,1,5,4,2,3,8,3,4,2,4,1,3,0,1,4,3,0,1,1,1,0,0,0,1,0,1
0.106812,0,0,0,0,0,1,2,1,6,1,5,4,3,1,4,1,2,0,1,1,0,2,1,2,0,0,0,2,1,1,0
0.109863,0,0,0,0,0,1,3,5,2,3,2,4,4,2,1,3,2,2,2,3,0,0,0,1,2,1,0,1,2,0,1
0.112915,0,0,0,0,2,4,3,2,4,6,2,5,4,6,7,6,1,0,1,0,1,1,1,1,1,3,0,0,0,1,1
0.115967,0,0,0,0,1,2,4,5,3,4,5,3,3,2,1,1,3,2,4,0,1,1,2,0,1,0,0,0,1,0,0
0.119019,0,0,0,0,0,3,3,7,4,5,1,8,4,1,2,2,1,2,2,0,4,1,0,0,1,0,1,0,0,0,0
0.12207,0,0,0,0,1,3,4,1,7,7,3,5,5,5,1,4,2,2,1,2,2,1,0,0,2,3,2,0,0,1,0
0.125122,0,0,0,0,2,3,4,4,5,5,5,3,7,5,2,4,0,0,1,0,1,1,1,1,1,1,1,0,1,0,2
0.128174,0,0,0,0,1,0,4,2,1,4,2,2,3,5,2,4,3,5,1,1,4,3,0,1,0,1,0,0,0,0,0
0.131226,0,0,0,0,3,3,3,7,2,4,5,1,2,4,4,1,1,1,0,3,1,2,0,1,1,0,1,2,1,0,0
0.134277,0,0,0,0,2,3,2,4,5,4,5,7,2,2,5,3,0,1,1,1,2,2,0,0,2,0,1,0,0,0,0
0.137329,0,1,0,0,2,4,4,4,2,6,5,3,2,0,2,0,3,2,1,0,0,3,1,4,0,0,0,0,0,0,0
